,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
159,16-303(c),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Citation,2013
160,16-303(h),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Citation,2013
161,16-303(c),BEIGE,No,No,MONTGOMERY VILLAGE,No,TOYOTA,RAV4,02 - Automobile,Citation,5795
162,13-401(h),BLACK,No,No,GAITHERSBURG,No,BMW,CN,02 - Automobile,Citation,2011
163,21-801.1,WHITE,No,No,BOYDS,No,HOND,CRV,02 - Automobile,Citation,2015
164,21-201(a1),GRAY,No,No,SILVER SPRING,No,MAZDA,6,02 - Automobile,Citation,2012
165,21-1116(a),"GREEN, DK",No,No,DAMASCUS,No,HOND,CIVIC,02 - Automobile,Citation,1997
166,21-402(a),GRAY,No,No,SILVER SPRING,No,MAZDA,6,02 - Automobile,Citation,2012
167,21-202(m),GRAY,No,No,SILVER SPRING,No,MAZDA,6,02 - Automobile,Citation,2012
168,21-902(b1i),GRAY,No,No,SILVER SPRING,No,MAZDA,6,02 - Automobile,Citation,2012
169,21-801.1,BLACK,No,No,DERWOOD,No,HOND,4DR,02 - Automobile,Citation,2004
170,16-301(j),WHITE,No,No,GERMANTOWN,No,NISSAN,2S,02 - Automobile,Citation,2006
171,21-902(a1),GREEN,No,No,DAMASCUS,No,SATURN,SEDAN,02 - Automobile,Citation,2000
172,21-707(a),GRAY,No,No,SILVER SPRING,No,MAZDA,6,02 - Automobile,Citation,2012
173,21-801.1,BLACK,No,No,SILVER SPRING,No,CHRY,PT CRUISER,02 - Automobile,Citation,2006
174,22-203(b),SILVER,No,No,UPPER MARLBORO,No,NISSAN,MAXIMA,02 - Automobile,Citation,2004
175,21-1124.2(d2),GRAY,No,No,SILVER SPRING,No,ACURA,4D,02 - Automobile,Citation,2012
176,16-116(a),SILVER,No,No,WINDSOR MILL,No,TOYOTA,SIENNA,02 - Automobile,Citation,2013
177,13-401(h),"GREEN, DK",No,No,GERMANTOWN,No,HOND,4S,02 - Automobile,Citation,2000
178,21-1003(r),"GREEN, DK",No,No,GERMANTOWN,No,HOND,4S,02 - Automobile,Citation,2000
179,21-801.1,SILVER,No,No,SILVER SPRING,No,HONDA,4S,02 - Automobile,Citation,2003
180,16-112(c),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
181,16-101(a1),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
182,16-303(c),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
183,16-113(h),GREEN,No,No,SILVER SPRING,No,TOYOTA,COROLLA,02 - Automobile,Citation,1994
184,16-303(h),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
185,21-902(a1),RED,No,No,SILVER SPRING,No,MERZ,TK,02 - Automobile,Citation,2012
186,16-303(d),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
187,22-206(a),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
188,21-606(c),BLACK,No,No,MONTGOMERY VILLAGE,No,HYUN,ELENTRA,02 - Automobile,Citation,2015
189,21-801.1,BLUE,No,No,BROOKEVILLE,No,NISS,2S,02 - Automobile,Citation,2006
190,13-411(a),WHITE,No,No,GERMANTOWN,No,ACURA,4S,02 - Automobile,Citation,2002
191,21-1124.2(d2),BLACK,No,No,CAPITOL HEIGHTS,No,MERZ,S550,02 - Automobile,Citation,2007
